LAKE_ID,LAT,LON,MEASUREMENT_ID,VAL_QTY,MEASUREMENT_DT
DE_BY_001,,,4,24.1,2021-06-22
DE_BY_001,,,4,24.7,2021-06-21
DE_BY_001,,,4,25.2,2021-06-20
DE_BY_001,,,4,25.6,2021-06-19
DE_BY_001,,,4,24.5,2021-06-18
DE_BY_001,,,4,23.5,2021-06-17
DE_BY_001,,,4,22.5,2021-06-16
DE_BY_001,,,4,21.5,2021-06-15
DE_BY_001,,,4,20.7,2021-06-14
DE_BY_001,,,4,20.2,2021-06-13
DE_BY_001,,,4,20.3,2021-06-12
DE_BY_001,,,4,19.9,2021-06-11
DE_BY_001,,,4,19.2,2021-06-10
DE_BY_001,,,4,18.6,2021-06-09
DE_BY_001,,,4,17.9,2021-06-08
DE_BY_001,,,4,17.2,2021-06-07
DE_BY_001,,,4,16.5,2021-06-06
DE_BY_001,,,4,16.9,2021-06-05
DE_BY_001,,,4,17.6,2021-06-04
DE_BY_001,,,4,17.2,2021-06-03
DE_BY_001,,,4,15.6,2021-06-02
DE_BY_001,,,4,14.5,2021-06-01
DE_BY_001,,,4,13.6,2021-05-31
DE_BY_001,,,4,13.0,2021-05-30
DE_BY_001,,,4,12.3,2021-05-29
DE_BY_001,,,4,11.4,2021-05-28
DE_BY_001,,,4,10.9,2021-05-27
DE_BY_001,,,4,10.3,2021-05-26
DE_BY_001,,,4,10.6,2021-05-25
DE_BY_001,,,4,11.2,2021-05-24
DE_BY_001,,,4,10.7,2021-05-23
DE_BY_001,,,4,10.3,2021-05-22
DE_BY_001,,,4,10.7,2021-05-21
DE_BY_001,,,4,10.6,2021-05-20
DE_BY_001,,,4,10.8,2021-05-19
DE_BY_001,,,4,10.3,2021-05-18
DE_BY_001,,,4,10.0,2021-05-17
DE_BY_001,,,4,11.1,2021-05-16
DE_BY_001,,,4,11.7,2021-05-15
DE_BY_001,,,4,11.4,2021-05-14
DE_BY_001,,,4,10.7,2021-05-13
DE_BY_001,,,4,10.8,2021-05-12
DE_BY_001,,,4,11.7,2021-05-11
DE_BY_001,,,4,11.4,2021-05-10
DE_BY_001,,,4,9.6,2021-05-09
DE_BY_001,,,4,9.5,2021-05-08
DE_BY_001,,,4,8.2,2021-05-07
DE_BY_001,,,4,8.8,2021-05-06
DE_BY_001,,,4,9.1,2021-05-05
DE_BY_001,,,4,9.2,2021-05-04
DE_BY_001,,,4,9.9,2021-05-03
DE_BY_001,,,4,9.3,2021-05-02
DE_BY_001,,,4,9.9,2021-05-01
DE_BY_001,,,4,10.5,2021-04-30
DE_BY_001,,,4,10.6,2021-04-29
DE_BY_001,,,4,10.8,2021-04-28
DE_BY_001,,,4,10.2,2021-04-27
DE_BY_001,,,4,9.5,2021-04-26
DE_BY_001,,,4,9.3,2021-04-25
DE_BY_001,,,4,9.2,2021-04-24
DE_BY_001,,,4,8.3,2021-04-23
DE_BY_001,,,4,8.0,2021-04-22
DE_BY_001,,,4,7.6,2021-04-21
DE_BY_001,,,4,6.8,2021-04-20
DE_BY_001,,,4,6.4,2021-04-19
DE_BY_001,,,4,6.2,2021-04-18
DE_BY_001,,,4,5.8,2021-04-17
DE_BY_001,,,4,5.8,2021-04-16
DE_BY_001,,,4,5.5,2021-04-15
DE_BY_001,,,4,5.3,2021-04-14
DE_BY_001,,,4,5.2,2021-04-13
DE_BY_001,,,4,5.4,2021-04-12
DE_BY_001,,,4,6.1,2021-04-11
DE_BY_001,,,4,5.3,2021-04-10
DE_BY_001,,,4,4.9,2021-04-09
DE_BY_001,,,4,5.2,2021-04-08
DE_BY_001,,,4,4.3,2021-04-07
DE_BY_001,,,4,4.9,2021-04-06
DE_BY_001,,,4,5.2,2021-04-05
DE_BY_001,,,4,7.0,2021-04-04
DE_BY_001,,,4,6.5,2021-04-03
DE_BY_001,,,4,6.6,2021-04-02
DE_BY_001,,,4,6.9,2021-04-01
DE_BY_002,,,4,22.2,2021-06-22
DE_BY_002,,,4,22.4,2021-06-21
DE_BY_002,,,4,22.8,2021-06-20
DE_BY_002,,,4,22.1,2021-06-19
DE_BY_002,,,4,20.6,2021-06-18
DE_BY_002,,,4,19.8,2021-06-17
DE_BY_002,,,4,19.2,2021-06-16
DE_BY_002,,,4,17.6,2021-06-15
DE_BY_002,,,4,17.0,2021-06-14
DE_BY_002,,,4,16.1,2021-06-13
DE_BY_002,,,4,19.7,2021-06-12
DE_BY_002,,,4,19.7,2021-06-11
DE_BY_002,,,4,19.2,2021-06-10
DE_BY_002,,,4,17.0,2021-06-09
DE_BY_002,,,4,17.1,2021-06-08
DE_BY_002,,,4,16.8,2021-06-07
DE_BY_002,,,4,16.2,2021-06-06
DE_BY_002,,,4,16.3,2021-06-05
DE_BY_002,,,4,16.1,2021-06-04
DE_BY_002,,,4,15.4,2021-06-03
DE_BY_002,,,4,12.9,2021-06-02
DE_BY_002,,,4,12.9,2021-06-01
DE_BY_002,,,4,11.9,2021-05-31
DE_BY_002,,,4,11.3,2021-05-30
